#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1749.9999999989561,813.0935758720055,11284.703564266782,3534.4736292536727,66.2
1754.9999999989516,1073.2020108992792,9920.640114014248,3107.236328239145,66.2
1759.999999998947,280.7130440738949,9899.77166708061,3100.7001374610386,66.2
1764.9999999989425,574.7533254029687,9114.84286658907,2854.8531703360923,66.2
1769.999999998938,720.819985235909,8316.701757373516,2604.867985800237,66.2
1774.9999999989334,940.1757288750325,8014.9861309620255,2510.36785834789,66.2
1779.9999999989288,849.1348075416536,7962.480881160347,2493.922728020405,66.2
1784.9999999989243,680.208535214179,8185.995194414981,2563.9294802102286,66.2
1789.9999999989197,460.72582423401997,7750.827501611054,2427.6309300747134,66.2
1794.9999999989152,426.52915324319406,7362.652799693566,2306.051019742358,66.2
1799.9999999989107,295.5679690201872,7059.251235722711,2211.0228410381364,66.2
1804.999999998906,-137.2952527847045,6834.246164158198,2140.5491695443316,66.2
1809.9999999989016,-459.37223775524456,6337.267830272811,1984.8909543839002,66.2
1814.999999998897,-438.5950459127016,5385.12458558112,1686.670875276889,66.2
1819.9999999988925,-608.594945299153,4963.018972581673,1554.463489463876,66.2
1824.999999998888,-609.8973155196268,4891.930429415482,1532.1978996119117,66.2
1829.9999999988834,-529.1190546598046,4613.497729347242,1444.990200241828,66.2
1834.9999999988788,-889.1605470332241,4521.3963200443295,1416.1431861803298,66.2
1839.9999999988743,-1047.6623943248426,3953.744937679306,1238.349517950381,66.2
1844.9999999988697,-1266.055891915962,3742.0974580113816,1172.059567902155,66.2
1849.9999999988652,-1063.0748530694123,3913.347920260355,1225.6967981022578,66.2
1854.9999999988606,-574.1458812297275,5228.102175882347,1637.490002857735,66.2
1859.999999998856,-212.71749786660038,5324.21145966606,1667.5923203112163,66.2
1864.9999999988515,-445.9553693924489,5134.903923953137,1608.2994475311948,66.2
1869.999999998847,-781.5301314529406,5206.132261410087,1630.60882224923,66.2
1874.9999999988424,-1089.0655251572891,5060.608113537881,1585.0293118841876,66.2
1879.999999998838,-902.1767520948902,4154.511095869158,1301.2313373732297,66.2
